epoch  69 | loss 0.2434 | train-acc 0.961 | val top1 0.909 top5 0.973 | 56s
epoch  70 | loss 0.2440 | train-acc 0.961 | val top1 0.908 top5 0.973 | 57s
epoch  71 | loss 0.2426 | train-acc 0.961 | val top1 0.908 top5 0.974 | 58s
epoch  72 | loss 0.2427 | train-acc 0.961 | val top1 0.909 top5 0.973 | 57s
epoch  73 | loss 0.2430 | train-acc 0.961 | val top1 0.909 top5 0.973 | 58s
epoch  74 | loss 0.2424 | train-acc 0.961 | val top1 0.909 top5 0.973 | 58s
epoch  75 | loss 0.2432 | train-acc 0.961 | val top1 0.910 top5 0.974 | 57s
epoch  76 | loss 0.2427 | train-acc 0.961 | val top1 0.909 top5 0.973 | 57s
epoch  77 | loss 0.2422 | train-acc 0.961 | val top1 0.910 top5 0.973 | 58s
epoch  78 | loss 0.2430 | train-acc 0.961 | val top1 0.909 top5 0.973 | 56s
epoch  79 | loss 0.2416 | train-acc 0.961 | val top1 0.909 top5 0.974 | 56s
epoch  80 | loss 0.2423 | train-acc 0.961 | val top1 0.909 top5 0.973 | 59s
epoch  81 | loss 0.2435 | train-acc 0.961 | val top1 0.910 top5 0.973 | 58s
epoch  82 | loss 0.2421 | train-acc 0.961 | val top1 0.909 top5 0.973 | 55s
epoch  83 | loss 0.2423 | train-acc 0.961 | val top1 0.908 top5 0.973 | 54s
epoch  84 | loss 0.2413 | train-acc 0.961 | val top1 0.909 top5 0.973 | 55s
epoch  85 | loss 0.2411 | train-acc 0.961 | val top1 0.909 top5 0.973 | 56s
epoch  86 | loss 0.2412 | train-acc 0.961 | val top1 0.909 top5 0.974 | 55s
epoch  87 | loss 0.2424 | train-acc 0.961 | val top1 0.909 top5 0.973 | 55s
epoch  88 | loss 0.2418 | train-acc 0.961 | val top1 0.909 top5 0.973 | 55s
epoch  89 | loss 0.2424 | train-acc 0.961 | val top1 0.909 top5 0.973 | 54s
epoch  90 | loss 0.2419 | train-acc 0.961 | val top1 0.909 top5 0.974 | 55s
epoch  91 | loss 0.2422 | train-acc 0.961 | val top1 0.909 top5 0.973 | 55s
epoch  92 | loss 0.2418 | train-acc 0.961 | val top1 0.909 top5 0.974 | 55s
epoch  93 | loss 0.2417 | train-acc 0.961 | val top1 0.909 top5 0.973 | 54s
epoch  94 | loss 0.2417 | train-acc 0.961 | val top1 0.909 top5 0.973 | 52s
epoch  95 | loss 0.2423 | train-acc 0.961 | val top1 0.909 top5 0.974 | 55s
epoch  96 | loss 0.2422 | train-acc 0.961 | val top1 0.910 top5 0.973 | 52s
epoch  97 | loss 0.2413 | train-acc 0.961 | val top1 0.908 top5 0.973 | 51s
epoch  98 | loss 0.2420 | train-acc 0.961 | val top1 0.909 top5 0.973 | 51s
epoch  99 | loss 0.2420 | train-acc 0.961 | val top1 0.909 top5 0.974 | 52s
