epoch  69 | loss 0.1859 | train-acc 0.969 | val top1 0.935 top5 0.982 | 52s
epoch  70 | loss 0.1861 | train-acc 0.969 | val top1 0.935 top5 0.982 | 57s
epoch  71 | loss 0.1849 | train-acc 0.970 | val top1 0.935 top5 0.982 | 55s
epoch  72 | loss 0.1855 | train-acc 0.970 | val top1 0.936 top5 0.982 | 55s
epoch  73 | loss 0.1856 | train-acc 0.970 | val top1 0.935 top5 0.982 | 54s
epoch  74 | loss 0.1855 | train-acc 0.970 | val top1 0.934 top5 0.982 | 52s
epoch  75 | loss 0.1858 | train-acc 0.969 | val top1 0.934 top5 0.982 | 52s
epoch  76 | loss 0.1855 | train-acc 0.969 | val top1 0.935 top5 0.982 | 55s
epoch  77 | loss 0.1845 | train-acc 0.970 | val top1 0.935 top5 0.982 | 52s
epoch  78 | loss 0.1858 | train-acc 0.969 | val top1 0.935 top5 0.982 | 54s
epoch  79 | loss 0.1854 | train-acc 0.969 | val top1 0.934 top5 0.982 | 52s
epoch  80 | loss 0.1852 | train-acc 0.970 | val top1 0.935 top5 0.982 | 54s
epoch  81 | loss 0.1858 | train-acc 0.969 | val top1 0.935 top5 0.982 | 52s
epoch  82 | loss 0.1851 | train-acc 0.969 | val top1 0.935 top5 0.982 | 53s
epoch  83 | loss 0.1857 | train-acc 0.969 | val top1 0.935 top5 0.982 | 51s
epoch  84 | loss 0.1848 | train-acc 0.970 | val top1 0.935 top5 0.982 | 91s
epoch  85 | loss 0.1839 | train-acc 0.970 | val top1 0.934 top5 0.982 | 57s
epoch  86 | loss 0.1841 | train-acc 0.970 | val top1 0.934 top5 0.982 | 53s
epoch  87 | loss 0.1850 | train-acc 0.970 | val top1 0.936 top5 0.982 | 53s
epoch  88 | loss 0.1851 | train-acc 0.969 | val top1 0.935 top5 0.982 | 52s
epoch  89 | loss 0.1848 | train-acc 0.970 | val top1 0.934 top5 0.982 | 52s
epoch  90 | loss 0.1847 | train-acc 0.970 | val top1 0.935 top5 0.982 | 53s
epoch  91 | loss 0.1853 | train-acc 0.969 | val top1 0.935 top5 0.982 | 52s
epoch  92 | loss 0.1853 | train-acc 0.969 | val top1 0.934 top5 0.982 | 51s
epoch  93 | loss 0.1848 | train-acc 0.970 | val top1 0.934 top5 0.982 | 52s
epoch  94 | loss 0.1850 | train-acc 0.969 | val top1 0.935 top5 0.982 | 55s
epoch  95 | loss 0.1854 | train-acc 0.969 | val top1 0.935 top5 0.982 | 52s
epoch  96 | loss 0.1854 | train-acc 0.969 | val top1 0.934 top5 0.982 | 54s
epoch  97 | loss 0.1848 | train-acc 0.970 | val top1 0.934 top5 0.982 | 51s
epoch  98 | loss 0.1848 | train-acc 0.969 | val top1 0.934 top5 0.982 | 52s
epoch  99 | loss 0.1854 | train-acc 0.969 | val top1 0.935 top5 0.982 | 51s
