epoch  69 | loss 0.1719 | train-acc 0.972 | val top1 0.974 top5 0.985 | 53s
epoch  70 | loss 0.1717 | train-acc 0.972 | val top1 0.974 top5 0.985 | 53s
epoch  71 | loss 0.1719 | train-acc 0.972 | val top1 0.974 top5 0.985 | 70s
epoch  72 | loss 0.1718 | train-acc 0.972 | val top1 0.974 top5 0.985 | 56s
epoch  73 | loss 0.1716 | train-acc 0.972 | val top1 0.974 top5 0.985 | 53s
epoch  74 | loss 0.1714 | train-acc 0.972 | val top1 0.974 top5 0.985 | 52s
epoch  75 | loss 0.1717 | train-acc 0.972 | val top1 0.974 top5 0.985 | 53s
epoch  76 | loss 0.1711 | train-acc 0.972 | val top1 0.974 top5 0.985 | 54s
epoch  77 | loss 0.1714 | train-acc 0.972 | val top1 0.974 top5 0.985 | 55s
epoch  78 | loss 0.1713 | train-acc 0.972 | val top1 0.974 top5 0.985 | 52s
epoch  79 | loss 0.1717 | train-acc 0.972 | val top1 0.974 top5 0.985 | 54s
epoch  80 | loss 0.1711 | train-acc 0.972 | val top1 0.974 top5 0.985 | 51s
epoch  81 | loss 0.1709 | train-acc 0.972 | val top1 0.974 top5 0.985 | 52s
epoch  82 | loss 0.1711 | train-acc 0.972 | val top1 0.974 top5 0.985 | 52s
epoch  83 | loss 0.1711 | train-acc 0.972 | val top1 0.974 top5 0.985 | 52s
epoch  84 | loss 0.1715 | train-acc 0.972 | val top1 0.974 top5 0.985 | 54s
epoch  85 | loss 0.1711 | train-acc 0.972 | val top1 0.974 top5 0.985 | 52s
epoch  86 | loss 0.1710 | train-acc 0.972 | val top1 0.974 top5 0.985 | 54s
epoch  87 | loss 0.1709 | train-acc 0.972 | val top1 0.974 top5 0.985 | 53s
epoch  88 | loss 0.1709 | train-acc 0.972 | val top1 0.974 top5 0.985 | 57s
epoch  89 | loss 0.1709 | train-acc 0.972 | val top1 0.974 top5 0.985 | 53s
epoch  90 | loss 0.1705 | train-acc 0.972 | val top1 0.974 top5 0.985 | 54s
epoch  91 | loss 0.1708 | train-acc 0.972 | val top1 0.974 top5 0.985 | 51s
epoch  92 | loss 0.1705 | train-acc 0.972 | val top1 0.974 top5 0.985 | 51s
epoch  93 | loss 0.1708 | train-acc 0.972 | val top1 0.974 top5 0.985 | 53s
epoch  94 | loss 0.1710 | train-acc 0.972 | val top1 0.974 top5 0.985 | 52s
epoch  95 | loss 0.1708 | train-acc 0.972 | val top1 0.974 top5 0.985 | 55s
epoch  96 | loss 0.1708 | train-acc 0.972 | val top1 0.974 top5 0.985 | 52s
epoch  97 | loss 0.1704 | train-acc 0.972 | val top1 0.974 top5 0.985 | 56s
epoch  98 | loss 0.1706 | train-acc 0.972 | val top1 0.974 top5 0.985 | 54s
epoch  99 | loss 0.1708 | train-acc 0.972 | val top1 0.974 top5 0.985 | 55s
