epoch  69 | loss 0.1696 | train-acc 0.972 | val top1 0.920 top5 0.978 | 58s
epoch  70 | loss 0.1690 | train-acc 0.972 | val top1 0.920 top5 0.978 | 58s
epoch  71 | loss 0.1688 | train-acc 0.972 | val top1 0.920 top5 0.978 | 58s
epoch  72 | loss 0.1690 | train-acc 0.972 | val top1 0.920 top5 0.977 | 60s
epoch  73 | loss 0.1685 | train-acc 0.972 | val top1 0.921 top5 0.977 | 56s
epoch  74 | loss 0.1688 | train-acc 0.972 | val top1 0.919 top5 0.978 | 57s
epoch  75 | loss 0.1688 | train-acc 0.972 | val top1 0.920 top5 0.978 | 57s
epoch  76 | loss 0.1689 | train-acc 0.972 | val top1 0.919 top5 0.978 | 58s
epoch  77 | loss 0.1683 | train-acc 0.972 | val top1 0.920 top5 0.978 | 58s
epoch  78 | loss 0.1685 | train-acc 0.972 | val top1 0.920 top5 0.978 | 57s
epoch  79 | loss 0.1689 | train-acc 0.972 | val top1 0.920 top5 0.978 | 60s
epoch  80 | loss 0.1682 | train-acc 0.972 | val top1 0.920 top5 0.978 | 56s
epoch  81 | loss 0.1686 | train-acc 0.972 | val top1 0.920 top5 0.978 | 57s
epoch  82 | loss 0.1688 | train-acc 0.972 | val top1 0.921 top5 0.978 | 57s
epoch  83 | loss 0.1682 | train-acc 0.972 | val top1 0.920 top5 0.978 | 57s
epoch  84 | loss 0.1677 | train-acc 0.972 | val top1 0.921 top5 0.978 | 57s
epoch  85 | loss 0.1681 | train-acc 0.972 | val top1 0.921 top5 0.979 | 59s
epoch  86 | loss 0.1684 | train-acc 0.972 | val top1 0.921 top5 0.978 | 56s
epoch  87 | loss 0.1682 | train-acc 0.972 | val top1 0.921 top5 0.979 | 57s
epoch  88 | loss 0.1685 | train-acc 0.972 | val top1 0.921 top5 0.978 | 57s
epoch  89 | loss 0.1682 | train-acc 0.972 | val top1 0.921 top5 0.979 | 57s
epoch  90 | loss 0.1681 | train-acc 0.972 | val top1 0.921 top5 0.977 | 58s
epoch  91 | loss 0.1682 | train-acc 0.972 | val top1 0.921 top5 0.978 | 57s
epoch  92 | loss 0.1680 | train-acc 0.972 | val top1 0.921 top5 0.978 | 59s
epoch  93 | loss 0.1676 | train-acc 0.972 | val top1 0.922 top5 0.978 | 58s
epoch  94 | loss 0.1685 | train-acc 0.972 | val top1 0.920 top5 0.978 | 57s
epoch  95 | loss 0.1681 | train-acc 0.972 | val top1 0.920 top5 0.978 | 58s
epoch  96 | loss 0.1684 | train-acc 0.972 | val top1 0.921 top5 0.978 | 57s
epoch  97 | loss 0.1680 | train-acc 0.972 | val top1 0.920 top5 0.978 | 60s
epoch  98 | loss 0.1679 | train-acc 0.972 | val top1 0.921 top5 0.978 | 58s
epoch  99 | loss 0.1683 | train-acc 0.972 | val top1 0.920 top5 0.978 | 57s
